key,ticker,title,deadline,salary,score,description,more-info,draft-mode,key:employer,key:contractor
# base entity
job-00,TICKER-00,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# ticker - standard variations
job-01,TICKE,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-02,TICKER,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-03,TICKER-1234567,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-04,TICKER-12345678,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# ticker - no singular values
# title - standard variations
job-05,TICKER-05,L,2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-06,TICKER-06,Lo,2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-07,TICKER-07,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod te",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-08,TICKER-08,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tem",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-09,TICKER-09,โลเร็ม อิปซัม,2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-10,TICKER-10,لوريم إيبسوم,2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-11,TICKER-11,洛伦·伊普森,2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-12,TICKER-12,<marquee>Hacked</marquee>,2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-13,TICKER-13,<script>alert(‘Hacked!’);</script>,2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-14,TICKER-14,' or 'A' = 'A,2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# title - no singular values
# deadline - standard variations
job-15,TICKER-15,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-16,TICKER-16,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:01,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-17,TICKER-17,"Lorem ipsum dolor sit amet, consectetur adipiscing",2200/12/31 23:59,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-18,TICKER-18,"Lorem ipsum dolor sit amet, consectetur adipiscing",2201/01/01 00:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# deadline - no singular values
# salary - standard variations
job-19,TICKER-19,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 0.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-20,TICKER-20,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 0.01,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-21,TICKER-21,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 999999.99,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-22,TICKER-22,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 1000000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# salary - no singular values
# score - standard variations
job-23,TICKER-23,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,0,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-24,TICKER-24,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,0.01,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-25,TICKER-25,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,99.99,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
job-26,TICKER-26,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,100,"Lorem ipsum dolor sit amet, consectetur adipiscing",http://lorem.com/ipsum,TRUE,employer-01,company-01
# score - no singular values
# description - standard variations
job-27,TICKER-27,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,L,http://lorem.com/ipsum,TRUE,employer-01,company-01
job-28,TICKER-28,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,Lo,http://lorem.com/ipsum,TRUE,employer-01,company-01
job-29,TICKER-29,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/09/01 10:00,EUR 500000.00,50,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",http://lorem.com/ipsum,TRUE,employer-01,company-01
